min_paths,n_inferred,closure_frac,recovery,precision,random_recovery,random_precision,lift_recovery,lift_precision,perm_p
1,2094,0.41058823529411764,0.98989898989899,0.04680038204393505,0.4444444444444444,0.021012416427889206,2.2272727272727275,2.2272727272727275,0.0
2,1644,0.32235294117647056,0.9797979797979798,0.05900243309002433,0.3434343434343434,0.02068126520681265,2.8529411764705883,2.8529411764705883,0.0
3,1291,0.25313725490196076,0.9696969696969697,0.07436096049573973,0.26262626262626265,0.020139426800929512,3.692307692307692,3.692307692307692,0.0
5,920,0.1803921568627451,0.9595959595959596,0.10326086956521739,0.1919191919191919,0.020652173913043477,5.0,5.0,0.0
